Id,Event,Venue,DateTime
25228cef-5224-4f4f-b0d1-d82278bf7eb0,Miami Heat vs Boston Celtics,American Airlines Arena (Basketball),3/9/2015 7:30:00 PM 
b7fe990c-e9eb-4a31-bb05-5a73bb5e6758,Miami Heat vs Brooklyn Nets,American Airlines Arena (Basketball),3/11/2015 7:30:00 PM 
17547823-7a97-4d8e-8116-dbe9dcabd2aa,Miami Heat vs Charlotte Hornets,American Airlines Arena (Basketball),4/7/2015 7:30:00 PM 
c3617b3b-e26a-4269-bc6f-8b2012e1c68a,Miami Heat vs Chicago Bulls,American Airlines Arena (Basketball),4/9/2015 8:00:00 PM 
3cf7319c-85f1-4a3d-b872-3e64dae3fa97,Miami Heat vs Cleveland Cavaliers,American Airlines Arena (Basketball),3/16/2015 8:00:00 PM 
3b05ab17-54c2-4003-8cb2-e6528341bfb1,Miami Heat vs Denver Nuggets,American Airlines Arena (Basketball),3/20/2015 7:30:00 PM 
386f3055-b8e5-4bc1-b2f4-b6cc2cb581ee,Miami Heat vs Detroit Pistons,American Airlines Arena (Basketball),3/29/2015 6:00:00 PM 
c76fa107-5709-40cd-9057-488ba538c747,Miami Heat vs Los Angeles Lakers,American Airlines Arena (Basketball),3/4/2015 8:00:00 PM 
89fb4b31-e31a-4366-8c88-1c2b81e2c013,Miami Heat vs New York Knicks,American Airlines Arena (Basketball),2/9/2015 7:30:00 PM 
0aeb1408-f11b-4e44-b9aa-9a5b08dffa69,Miami Heat vs Orlando Magic,American Airlines Arena (Basketball),4/13/2015 7:30:00 PM 
d12d3bf2-18ce-42a6-8d09-b7086775965f,Miami Heat vs Philadelphia 76ers,American Airlines Arena (Basketball),2/23/2015 7:30:00 PM 
9430b5a3-52a6-433a-b3c9-75b772dab8b5,Miami Heat vs Portland Trail Blazers,American Airlines Arena (Basketball),3/18/2015 7:30:00 PM 
b1f4be6f-e123-4740-887e-cc86a8344565,Miami Heat vs San Antonio Spurs,American Airlines Arena (Basketball),3/31/2015 8:00:00 PM 
7e0e5487-fa57-4a0b-b1b8-d07d088cb125,Miami Heat vs Toronto Raptors,American Airlines Arena (Basketball),4/11/2015 7:30:00 PM 
